Lithology Subtype,Principal,mean,rsd,median,count,count_outliers,outlier_count_ratio %,kurtosis,skew
intrusive,harzburgite,35.79762092793682,0.16606397130993034,35.8,1013,9,0.8884501480750246,0.8415593423951844,-0.18693377799391986
intrusive,igneous rock,46.8,0.0,46.8,1,0,0.0,,
intrusive,lherzolite,40.625,0.05779048057397009,39.8,4,0,0.0,-0.9090085921318356,0.8551752366678701
intrusive,peperite,26.625,0.08238868137097209,27.0,4,0,0.0,-1.1846575230426275,-0.4296558694311539
intrusive,quartz diorite,35.43333333333333,0.2896696335565295,34.6,3,0,0.0,-1.5000000000000002,0.12125015159790128
intrusive,rhyodacite,38.506521739130434,0.19238523224456602,40.9,46,1,2.1739130434782608,1.676347459188631,-1.327138984081126
intrusive,tonalite,30.9,0.0,30.9,1,0,0.0,,
intrusive,troctolite,39.748314014752374,0.26549316000103756,39.6,1898,5,0.26343519494204426,0.1478043957021109,0.06917139382215019
intrusive,trondhjemite,37.20095238095238,0.2568035926904847,38.8,735,11,1.4965986394557824,2.4673532984000905,-1.0285451553957128
marble,marble,48.335,0.16724377507765692,48.33,32,0,0.0,-1.092147249378689,-0.3180670677417759
metabasalt,metabasalt,44.66451612903226,0.2205072705776288,45.34,31,0,0.0,-0.14094770340490026,-0.1193532518682038
metabasite,metabasite,41.54516129032258,0.18000435281624264,42.02,124,1,0.8064516129032258,0.9719763579123106,-0.016970936092886364
metaclaystone,metaclaystone,35.02285714285714,0.13082425058418803,33.32,7,0,0.0,-0.39387655841905733,0.8140648021872587
metalimestone,metalimestone,54.49769230769231,0.08123074948266444,56.41,13,0,0.0,0.435003621133244,-1.3601166714192086
metavolcanic,metavolcanic rock,45.79830188679245,0.20416629062759983,47.65,53,0,0.0,-0.42401129327638465,-0.1807015589318014
other,authigenic carbonate,48.278571428571425,0.08735431439533856,48.349999999999994,14,0,0.0,-0.5672963794250774,-0.2165758706209242
other,boundstone,52.63446475195823,0.41791468161490164,49.4,766,0,0.0,-1.2753190760853768,0.1824038621325295
other,breccia,30.941018233359,0.36865003587300005,31.3,57148,136,0.23797858192762653,0.04463160083976403,0.04218413494551579
other,breccia/conglomerate,35.91671574178935,0.1943615691772485,36.0,4415,20,0.45300113250283125,0.4515709392046925,-0.035784565548832144
other,breccia/conglomerate/gravel,35.791111111111114,0.14883318920419047,35.4,108,0,0.0,-0.16252415588090452,0.17267725192249092
other,calcarenite,51.80743902439025,0.11758182796506934,51.2,2460,3,0.12195121951219512,-0.27274052643629654,0.17038578383914527
other,calcilutite,50.99368600682594,0.1853082456286914,47.3,586,1,0.17064846416382254,-0.7568494573280935,0.4319063445416722
other,carbonaceous sediment,38.4,0.0,38.4,1,0,0.0,,
other,carbonate,44.69911764705882,0.24105093083933057,44.53,34,0,0.0,-0.42418139625488793,0.11803175374202143
other,clast-poor diamict,34.887734641638225,0.10388689416043273,35.0,4688,29,0.6186006825938567,1.517349886196615,0.05605582727397976
other,clast-poor muddy diamict,33.78620601589103,0.1433463915758464,32.915,3524,36,1.0215664018161181,0.8154276405974379,0.6774211467981864
other,clast-poor sandy diamict,32.4118423134394,0.13348104948391057,31.8,11377,67,0.5889074448448625,0.2885070479801852,0.5510993231425297
other,clast-rich diamict,34.62191874828438,0.11684751302089093,34.6,7286,120,1.6469942355201757,6.35175558929385,0.4895030653190079
other,clast-rich muddy diamict,31.48154689403167,0.15917296996768057,30.89,2463,33,1.3398294762484775,2.9346828276406383,0.9515489466031607
other,clast-rich sandy diamict,30.743134765625,0.15746683492827,30.2,7168,49,0.68359375,0.7986042447663535,0.7659440575763476
other,claystone,35.00612244897959,0.1833431130175443,35.5,147,0,0.0,0.16074522357499266,-0.6444485037211191
other,coal,28.518,0.16676957776594156,29.37,10,0,0.0,-0.528482299342024,-0.3427135571307513
